ID,NI,CI,HI,WI,NO,DO,HO,WO,HK,WK,HPTOP,HPBOTTOM,WPLEFT,WPRIGHT,HS,WS,HD,WD,GROUP,BIAS
0,1,64,64,64,1,64,64,64,1,1,0,0,0,0,1,1,1,1,1,64
1,1,64,64,64,1,16,64,64,1,1,0,0,0,0,1,1,1,1,1,16
2,1,16,64,64,1,2,64,64,1,1,0,0,0,0,1,1,1,1,1,2
3,1,16,64,64,1,16,64,64,1,1,0,0,0,0,1,1,1,1,1,16
4,1,16,64,64,1,64,64,64,1,1,0,0,0,0,1,1,1,1,1,64
5,1,64,64,64,1,256,64,64,1,1,0,0,0,0,1,1,1,1,1,256
6,1,256,64,64,1,64,64,64,1,1,0,0,0,0,1,1,1,1,1,64
7,1,256,64,64,1,128,64,64,1,1,0,0,0,0,1,1,1,1,1,128
8,1,128,32,32,1,32,32,32,1,1,0,0,0,0,1,1,1,1,1,32
9,1,32,32,32,1,2,32,32,1,1,0,0,0,0,1,1,1,1,1,2
10,1,32,32,32,1,32,32,32,1,1,0,0,0,0,1,1,1,1,1,32
11,1,32,32,32,1,128,32,32,1,1,0,0,0,0,1,1,1,1,1,128
12,1,128,32,32,1,512,32,32,1,1,0,0,0,0,1,1,1,1,1,512
13,1,256,64,64,1,512,32,32,1,1,0,0,0,0,2,2,1,1,1,512
14,1,512,32,32,1,128,32,32,1,1,0,0,0,0,1,1,1,1,1,128
15,1,512,32,32,1,256,32,32,1,1,0,0,0,0,1,1,1,1,1,256
16,1,256,16,16,1,64,16,16,1,1,0,0,0,0,1,1,1,1,1,64
17,1,64,16,16,1,2,16,16,1,1,0,0,0,0,1,1,1,1,1,2
18,1,64,16,16,1,64,16,16,1,1,0,0,0,0,1,1,1,1,1,64
19,1,64,16,16,1,256,16,16,1,1,0,0,0,0,1,1,1,1,1,256
20,1,256,16,16,1,1024,16,16,1,1,0,0,0,0,1,1,1,1,1,1024
21,1,512,32,32,1,1024,16,16,1,1,0,0,0,0,2,2,1,1,1,1024
22,1,1024,16,16,1,256,16,16,1,1,0,0,0,0,1,1,1,1,1,256
23,1,1024,16,16,1,512,16,16,1,1,0,0,0,0,1,1,1,1,1,512
24,1,512,8,8,1,128,8,8,1,1,0,0,0,0,1,1,1,1,1,128
25,1,128,8,8,1,2,8,8,1,1,0,0,0,0,1,1,1,1,1,2
26,1,128,8,8,1,128,8,8,1,1,0,0,0,0,1,1,1,1,1,128
27,1,128,8,8,1,512,8,8,1,1,0,0,0,0,1,1,1,1,1,512
28,1,512,8,8,1,2048,8,8,1,1,0,0,0,0,1,1,1,1,1,2048
29,1,1024,16,16,1,2048,8,8,1,1,0,0,0,0,2,2,1,1,1,2048
