ID,NI,CI,HI,WI,NO,DO,HO,WO,HK,WK,HPTOP,HPBOTTOM,WPLEFT,WPRIGHT,HS,WS,HD,WD,GROUP,BIAS
0,1,3,224,224,1,2048,16,16,14,14,0,0,0,0,14,14,1,1,1,2048
1,1,3,336,336,1,2048,24,24,14,14,0,0,0,0,14,14,1,1,1,2048
2,1,3,448,448,1,2048,32,32,14,14,0,0,0,0,14,14,1,1,1,2048
3,1,3,224,224,1,3072,16,16,14,14,0,0,0,0,14,14,1,1,1,3072
4,1,3,336,336,1,3072,24,24,14,14,0,0,0,0,14,14,1,1,1,3072
5,1,3,448,448,1,3072,32,32,14,14,0,0,0,0,14,14,1,1,1,3072
6,1,3,224,224,1,1536,16,16,14,14,0,0,0,0,14,14,1,1,1,1536
7,1,3,336,336,1,1536,24,24,14,14,0,0,0,0,14,14,1,1,1,1536
8,1,3,448,448,1,1536,32,32,14,14,0,0,0,0,14,14,1,1,1,1536
9,1,3,224,224,1,1024,16,16,14,14,0,0,0,0,14,14,1,1,1,1024
10,1,3,336,336,1,1024,24,24,14,14,0,0,0,0,14,14,1,1,1,1024
11,1,3,448,448,1,1024,32,32,14,14,0,0,0,0,14,14,1,1,1,1024
12,1,3,256,256,1,24,128,128,3,3,1,1,1,1,2,2,1,1,1,24
13,1,24,128,128,1,32,128,128,3,3,1,1,1,1,1,1,1,1,1,32
14,1,32,128,128,1,64,128,128,3,3,1,1,1,1,1,1,1,1,1,64
24,1,3,224,224,1,768,14,14,16,16,0,0,0,0,16,16,1,1,1,768
25,1,3,384,384,1,768,24,24,16,16,0,0,0,0,16,16,1,1,1,768
26,1,3,224,224,1,1024,14,14,16,16,0,0,0,0,16,16,1,1,1,1024
27,1,3,384,384,1,1024,24,24,16,16,0,0,0,0,16,16,1,1,1,1024
28,1,3,512,512,1,1024,32,32,16,16,0,0,0,0,16,16,1,1,1,1024
29,1,64,64,64,1,64,64,64,3,3,1,1,1,1,1,1,1,1,1,64
30,1,128,64,64,1,128,32,32,3,3,1,1,1,1,2,2,1,1,1,128
31,1,128,32,32,1,128,32,32,3,3,1,1,1,1,1,1,1,1,1,128
32,1,256,32,32,1,256,16,16,3,3,1,1,1,1,2,2,1,1,1,256
33,1,256,16,16,1,256,16,16,3,3,1,1,1,1,1,1,1,1,1,256
34,1,512,16,16,1,512,8,8,3,3,1,1,1,1,2,2,1,1,1,512
